"BehaviorSpace results (NetLogo 6.2.0)"
"sir-dist.nlogo"
"variar DS"
"11/13/2025 19:02:48:688 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","POB","DS","TE","PC","WIG","S0","[step]","Emax","t-estrella"
"411","90","20","18","0.06","60","99","118","4615","39"
"410","90","20","18","0.06","60","99","115","4670","39"
"412","90","20","18","0.06","60","99","122","4510","39"
"417","90","20","18","0.06","60","99","105","4320","40"
"413","90","20","18","0.06","60","99","114","4502","42"
"414","90","20","18","0.06","60","99","142","4466","40"
"415","90","20","18","0.06","60","99","125","4433","41"
"416","90","20","18","0.06","60","99","126","4295","40"
"418","90","20","18","0.06","60","99","115","4425","38"
"422","90","21","18","0.06","60","99","106","4170","44"
"420","90","20","18","0.06","60","99","113","4572","40"
"421","90","21","18","0.06","60","99","108","4508","40"
"419","90","20","18","0.06","60","99","139","4413","42"
"423","90","21","18","0.06","60","99","131","4199","41"
"424","90","21","18","0.06","60","99","123","4398","42"
"425","90","21","18","0.06","60","99","104","4536","41"
"426","90","21","18","0.06","60","99","128","4386","41"
"427","90","21","18","0.06","60","99","103","4597","38"
"429","90","21","18","0.06","60","99","124","4309","39"
"430","90","21","18","0.06","60","99","125","4255","41"
"428","90","21","18","0.06","60","99","133","4482","39"
"431","90","21","18","0.06","60","99","118","4623","39"
"433","90","21","18","0.06","60","99","111","4482","39"
"432","90","21","18","0.06","60","99","111","4480","40"
"434","90","21","18","0.06","60","99","122","4456","39"
"436","90","21","18","0.06","60","99","115","4422","40"
"438","90","21","18","0.06","60","99","105","4568","39"
"437","90","21","18","0.06","60","99","117","4586","39"
"435","90","21","18","0.06","60","99","115","4561","37"
"440","90","21","18","0.06","60","99","111","4627","40"
"439","90","21","18","0.06","60","99","128","4538","39"
"441","90","22","18","0.06","60","99","111","4521","40"
"442","90","22","18","0.06","60","99","110","4440","39"
"443","90","22","18","0.06","60","99","120","4462","41"
"446","90","22","18","0.06","60","99","104","4545","38"
"448","90","22","18","0.06","60","99","112","4246","38"
"450","90","22","18","0.06","60","99","107","4518","41"
"444","90","22","18","0.06","60","99","115","4435","39"
"449","90","22","18","0.06","60","99","115","4469","40"
"451","90","22","18","0.06","60","99","129","4256","43"
"445","90","22","18","0.06","60","99","120","4549","40"
"447","90","22","18","0.06","60","99","130","4310","40"
"453","90","22","18","0.06","60","99","114","4505","41"
"452","90","22","18","0.06","60","99","110","4151","40"
"455","90","22","18","0.06","60","99","115","4412","39"
"456","90","22","18","0.06","60","99","113","4536","39"
"454","90","22","18","0.06","60","99","120","4561","42"
"457","90","22","18","0.06","60","99","119","4340","41"
"458","90","22","18","0.06","60","99","124","4433","40"
"459","90","22","18","0.06","60","99","112","4348","41"
"460","90","22","18","0.06","60","99","109","4385","41"
"462","90","23","18","0.06","60","99","118","4218","42"
"461","90","23","18","0.06","60","99","112","4439","39"
"463","90","23","18","0.06","60","99","125","4520","40"
"466","90","23","18","0.06","60","99","106","4443","39"
"465","90","23","18","0.06","60","99","123","4283","40"
"467","90","23","18","0.06","60","99","110","4493","41"
"464","90","23","18","0.06","60","99","143","4358","40"
"468","90","23","18","0.06","60","99","128","4333","42"
"470","90","23","18","0.06","60","99","110","4396","39"
"469","90","23","18","0.06","60","99","138","4323","39"
"472","90","23","18","0.06","60","99","123","4201","42"
"474","90","23","18","0.06","60","99","112","4470","39"
"473","90","23","18","0.06","60","99","120","4534","40"
"471","90","23","18","0.06","60","99","127","4439","41"
"477","90","23","18","0.06","60","99","113","4405","41"
"476","90","23","18","0.06","60","99","120","4435","39"
"475","90","23","18","0.06","60","99","133","4366","41"
"478","90","23","18","0.06","60","99","130","4517","38"
"480","90","23","18","0.06","60","99","116","4311","41"
"479","90","23","18","0.06","60","99","126","4365","42"
"482","90","24","18","0.06","60","99","113","4406","40"
"481","90","24","18","0.06","60","99","112","4524","40"
"484","90","24","18","0.06","60","99","117","4525","38"
"483","90","24","18","0.06","60","99","117","4438","41"
"486","90","24","18","0.06","60","99","104","4468","40"
"485","90","24","18","0.06","60","99","118","4351","41"
"487","90","24","18","0.06","60","99","120","4232","42"
"488","90","24","18","0.06","60","99","128","4471","39"
"490","90","24","18","0.06","60","99","121","4450","37"
"489","90","24","18","0.06","60","99","139","4263","42"
"492","90","24","18","0.06","60","99","108","4272","41"
"491","90","24","18","0.06","60","99","115","4438","41"
"495","90","24","18","0.06","60","99","119","4414","40"
"493","90","24","18","0.06","60","99","121","4312","41"
"494","90","24","18","0.06","60","99","124","4573","41"
"497","90","24","18","0.06","60","99","130","4414","39"
"499","90","24","18","0.06","60","99","113","4461","40"
"500","90","24","18","0.06","60","99","119","4373","41"
"498","90","24","18","0.06","60","99","116","4367","40"
"496","90","24","18","0.06","60","99","132","4222","41"
"502","90","25","18","0.06","60","99","116","4190","38"
"501","90","25","18","0.06","60","99","114","4365","43"
"503","90","25","18","0.06","60","99","124","4479","38"
"504","90","25","18","0.06","60","99","106","4356","40"
"505","90","25","18","0.06","60","99","114","4411","39"
"507","90","25","18","0.06","60","99","112","4551","39"
"506","90","25","18","0.06","60","99","129","4267","44"
"512","90","25","18","0.06","60","99","109","4459","40"
"510","90","25","18","0.06","60","99","123","4401","42"
"508","90","25","18","0.06","60","99","120","4329","39"
"509","90","25","18","0.06","60","99","117","4170","43"
"515","90","25","18","0.06","60","99","112","4523","42"
