"BehaviorSpace results (NetLogo 6.2.0)"
"sir-dist-dos.nlogo"
"variar DS dos"
"11/15/2025 09:04:40:424 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","199","0","199"
"[run number]","POB","DS","PC","TE","WIG","S0","[step]","Emax","t-estrella"
"321","90","32","0.09","30","15","99","234","3818","51"
"315","90","31","0.09","30","15","99","321","3483","50"
"324","90","32","0.09","30","15","99","216","3666","51"
"323","90","32","0.09","30","15","99","263","3792","46"
"316","90","31","0.09","30","15","99","319","3578","52"
"319","90","31","0.09","30","15","99","373","3447","54"
"327","90","32","0.09","30","15","99","215","3693","46"
"329","90","32","0.09","30","15","99","188","3888","49"
"328","90","32","0.09","30","15","99","219","3619","51"
"330","90","32","0.09","30","15","99","253","3367","55"
"331","90","33","0.09","30","15","99","190","3891","52"
"332","90","33","0.09","30","15","99","228","3643","49"
"333","90","33","0.09","30","15","99","206","3870","47"
"334","90","33","0.09","30","15","99","256","3856","51"
"341","90","34","0.09","30","15","99","210","3738","51"
"339","90","33","0.09","30","15","99","201","4077","49"
"340","90","33","0.09","30","15","99","225","3722","51"
"336","90","33","0.09","30","15","99","227","3381","48"
"342","90","34","0.09","30","15","99","197","3679","51"
"335","90","33","0.09","30","15","99","254","4042","49"
"343","90","34","0.09","30","15","99","188","3835","51"
"337","90","33","0.09","30","15","99","251","3519","49"
"338","90","33","0.09","30","15","99","262","3167","57"
"344","90","34","0.09","30","15","99","232","3504","54"
"347","90","34","0.09","30","15","99","250","3747","50"
"346","90","34","0.09","30","15","99","247","3656","54"
"349","90","34","0.09","30","15","99","212","3509","55"
"351","90","35","0.09","30","15","99","202","3869","49"
"355","90","35","0.09","30","15","99","199","3504","55"
"353","90","35","0.09","30","15","99","217","3501","51"
"345","90","34","0.09","30","15","99","301","3829","49"
"348","90","34","0.09","30","15","99","295","4030","48"
"352","90","35","0.09","30","15","99","250","3406","52"
"356","90","35","0.09","30","15","99","227","3329","56"
"350","90","34","0.09","30","15","99","248","3574","53"
"357","90","35","0.09","30","15","99","254","3537","52"
"358","90","35","0.09","30","15","99","211","4116","52"
"354","90","35","0.09","30","15","99","291","3556","50"
"360","90","35","0.09","30","15","99","212","3518","51"
"361","90","36","0.09","30","15","99","194","3535","56"
"359","90","35","0.09","30","15","99","241","3412","56"
"364","90","36","0.09","30","15","99","239","3593","51"
"362","90","36","0.09","30","15","99","310","3359","52"
"363","90","36","0.09","30","15","99","316","3464","49"
"365","90","36","0.09","30","15","99","226","3602","51"
"368","90","36","0.09","30","15","99","205","3717","49"
"366","90","36","0.09","30","15","99","258","3716","50"
"370","90","36","0.09","30","15","99","221","3711","52"
"373","90","37","0.09","30","15","99","204","3328","54"
"369","90","36","0.09","30","15","99","240","3294","51"
"372","90","37","0.09","30","15","99","233","3631","54"
"371","90","37","0.09","30","15","99","283","3684","49"
"376","90","37","0.09","30","15","99","190","3923","47"
"374","90","37","0.09","30","15","99","284","3633","49"
"367","90","36","0.09","30","15","99","331","3583","50"
"375","90","37","0.09","30","15","99","305","3311","48"
"377","90","37","0.09","30","15","99","233","3505","50"
"380","90","37","0.09","30","15","99","196","3480","56"
"381","90","38","0.09","30","15","99","264","3434","52"
"386","90","38","0.09","30","15","99","197","3878","48"
"378","90","37","0.09","30","15","99","311","3669","50"
"383","90","38","0.09","30","15","99","251","3575","54"
"379","90","37","0.09","30","15","99","270","3484","51"
"384","90","38","0.09","30","15","99","229","3476","51"
"382","90","38","0.09","30","15","99","292","3025","52"
"388","90","38","0.09","30","15","99","224","3642","48"
"387","90","38","0.09","30","15","99","230","3424","52"
"385","90","38","0.09","30","15","99","262","3699","46"
"390","90","38","0.09","30","15","99","283","2920","57"
"393","90","39","0.09","30","15","99","199","3409","54"
"392","90","39","0.09","30","15","99","194","3720","52"
"391","90","39","0.09","30","15","99","269","3454","53"
"395","90","39","0.09","30","15","99","222","3791","50"
"394","90","39","0.09","30","15","99","229","3625","53"
"396","90","39","0.09","30","15","99","217","3736","48"
"389","90","38","0.09","30","15","99","326","3298","49"
"401","90","40","0.09","30","15","99","201","3822","48"
"399","90","39","0.09","30","15","99","203","3499","52"
"397","90","39","0.09","30","15","99","223","3407","50"
"400","90","39","0.09","30","15","99","239","3514","49"
"398","90","39","0.09","30","15","99","241","3660","51"
"402","90","40","0.09","30","15","99","206","3598","48"
"404","90","40","0.09","30","15","99","203","3705","52"
"403","90","40","0.09","30","15","99","260","3223","56"
"407","90","40","0.09","30","15","99","197","3563","52"
"406","90","40","0.09","30","15","99","221","3656","48"
"405","90","40","0.09","30","15","99","231","3443","53"
"411","90","41","0.09","30","15","99","199","3436","49"
"408","90","40","0.09","30","15","99","257","3497","52"
"409","90","40","0.09","30","15","99","267","3365","50"
"414","90","41","0.09","30","15","99","209","3581","51"
"410","90","40","0.09","30","15","99","209","3524","54"
"413","90","41","0.09","30","15","99","211","3579","54"
"416","90","41","0.09","30","15","99","202","3215","51"
"415","90","41","0.09","30","15","99","206","3342","52"
"412","90","41","0.09","30","15","99","309","3574","51"
"418","90","41","0.09","30","15","99","242","3625","51"
"417","90","41","0.09","30","15","99","247","3431","57"
"419","90","41","0.09","30","15","99","233","3585","51"
"420","90","41","0.09","30","15","99","245","3621","52"
"421","90","42","0.09","30","15","99","196","3570","49"
"425","90","42","0.09","30","15","99","195","3537","54"
"423","90","42","0.09","30","15","99","246","3576","50"
"422","90","42","0.09","30","15","99","271","3013","54"
"424","90","42","0.09","30","15","99","257","3464","51"
"427","90","42","0.09","30","15","99","200","3469","52"
"426","90","42","0.09","30","15","99","246","3256","53"
"431","90","43","0.09","30","15","99","213","3302","55"
"433","90","43","0.09","30","15","99","232","3275","51"
"428","90","42","0.09","30","15","99","260","3437","50"
"432","90","43","0.09","30","15","99","227","3955","53"
"434","90","43","0.09","30","15","99","218","3585","48"
"436","90","43","0.09","30","15","99","190","3742","51"
"437","90","43","0.09","30","15","99","213","3516","51"
"430","90","42","0.09","30","15","99","319","3138","56"
"435","90","43","0.09","30","15","99","234","3515","52"
"429","90","42","0.09","30","15","99","344","3632","52"
"439","90","43","0.09","30","15","99","249","3518","52"
"438","90","43","0.09","30","15","99","247","3119","51"
"440","90","43","0.09","30","15","99","229","3466","47"
"442","90","44","0.09","30","15","99","203","3285","53"
"445","90","44","0.09","30","15","99","223","3581","50"
"447","90","44","0.09","30","15","99","219","3268","53"
"443","90","44","0.09","30","15","99","255","3611","51"
"446","90","44","0.09","30","15","99","247","3194","53"
"444","90","44","0.09","30","15","99","233","3700","53"
"441","90","44","0.09","30","15","99","303","3181","55"
"448","90","44","0.09","30","15","99","235","3520","48"
"453","90","45","0.09","30","15","99","177","3568","50"
"449","90","44","0.09","30","15","99","212","3342","54"
"450","90","44","0.09","30","15","99","202","3521","54"
"452","90","45","0.09","30","15","99","220","3263","49"
"454","90","45","0.09","30","15","99","219","3527","49"
"457","90","45","0.09","30","15","99","191","3347","51"
