"BehaviorSpace results (NetLogo 6.2.0)"
"segregacion.nlogo"
"grafica"
"10/03/2025 10:32:26:182 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","74","0","74"
"[run number]","densidad","tamanio","similitud","[step]","ticks"
"508","90","75","26","19","19"
"511","90","75","26","18","18"
"504","90","75","26","22","22"
"514","90","75","26","19","19"
"512","90","75","26","21","21"
"515","90","75","26","16","16"
"521","90","75","27","14","14"
"517","90","75","26","17","17"
"520","90","75","26","15","15"
"518","90","75","26","20","20"
"522","90","75","27","13","13"
"516","90","75","26","18","18"
"523","90","75","27","17","17"
"519","90","75","26","22","22"
"526","90","75","27","15","15"
"525","90","75","27","16","16"
"524","90","75","27","18","18"
"531","90","75","27","15","15"
"529","90","75","27","19","19"
"528","90","75","27","16","16"
"527","90","75","27","17","17"
"532","90","75","27","18","18"
"533","90","75","27","17","17"
"530","90","75","27","21","21"
"535","90","75","27","15","15"
"534","90","75","27","19","19"
"537","90","75","27","18","18"
"540","90","75","27","16","16"
"536","90","75","27","25","25"
"538","90","75","27","19","19"
"542","90","75","28","14","14"
"539","90","75","27","21","21"
"541","90","75","28","18","18"
"543","90","75","28","14","14"
"547","90","75","28","19","19"
"548","90","75","28","15","15"
"545","90","75","28","22","22"
"544","90","75","28","18","18"
"550","90","75","28","14","14"
"546","90","75","28","25","25"
"549","90","75","28","21","21"
"554","90","75","28","15","15"
"553","90","75","28","16","16"
"558","90","75","28","15","15"
"551","90","75","28","23","23"
"552","90","75","28","23","23"
"556","90","75","28","20","20"
"555","90","75","28","20","20"
"562","90","75","29","16","16"
"563","90","75","29","17","17"
"559","90","75","28","20","20"
"557","90","75","28","21","21"
"564","90","75","29","15","15"
"565","90","75","29","19","19"
"560","90","75","28","31","31"
"567","90","75","29","17","17"
"569","90","75","29","15","15"
"566","90","75","29","15","15"
"561","90","75","29","26","26"
"570","90","75","29","16","16"
"568","90","75","29","16","16"
"571","90","75","29","13","13"
"573","90","75","29","16","16"
"572","90","75","29","20","20"
"577","90","75","29","13","13"
"574","90","75","29","17","17"
"578","90","75","29","17","17"
"579","90","75","29","14","14"
"576","90","75","29","17","17"
"575","90","75","29","19","19"
"583","90","75","30","15","15"
"586","90","75","30","17","17"
"580","90","75","29","18","18"
"582","90","75","30","18","18"
"585","90","75","30","18","18"
"584","90","75","30","19","19"
"581","90","75","30","21","21"
"590","90","75","30","13","13"
"588","90","75","30","16","16"
"587","90","75","30","18","18"
"591","90","75","30","18","18"
"589","90","75","30","17","17"
"592","90","75","30","15","15"
"595","90","75","30","14","14"
"594","90","75","30","15","15"
"593","90","75","30","16","16"
"603","90","75","31","13","13"
"597","90","75","30","14","14"
"602","90","75","31","14","14"
"596","90","75","30","21","21"
"599","90","75","30","18","18"
"598","90","75","30","17","17"
"600","90","75","30","16","16"
"604","90","75","31","19","19"
"601","90","75","31","25","25"
"606","90","75","31","16","16"
"608","90","75","31","14","14"
"607","90","75","31","17","17"
"605","90","75","31","17","17"
"610","90","75","31","12","12"
"612","90","75","31","15","15"
"609","90","75","31","18","18"
"617","90","75","31","16","16"
"613","90","75","31","19","19"
"618","90","75","31","14","14"
"614","90","75","31","16","16"
"611","90","75","31","17","17"
"621","90","75","32","16","16"
"616","90","75","31","16","16"
"620","90","75","31","16","16"
"622","90","75","32","14","14"
"623","90","75","32","14","14"
"619","90","75","31","20","20"
"615","90","75","31","22","22"
"624","90","75","32","16","16"
"626","90","75","32","15","15"
"628","90","75","32","16","16"
"631","90","75","32","15","15"
"633","90","75","32","15","15"
"627","90","75","32","20","20"
"625","90","75","32","20","20"
"635","90","75","32","15","15"
"630","90","75","32","17","17"
"632","90","75","32","19","19"
"634","90","75","32","17","17"
"636","90","75","32","17","17"
"637","90","75","32","16","16"
"640","90","75","32","17","17"
"638","90","75","32","21","21"
"629","90","75","32","28","28"
"641","90","75","33","16","16"
"642","90","75","33","15","15"
"639","90","75","32","23","23"
"645","90","75","33","15","15"
"643","90","75","33","20","20"
"649","90","75","33","15","15"
"646","90","75","33","15","15"
"648","90","75","33","14","14"
"651","90","75","33","14","14"
"644","90","75","33","19","19"
"652","90","75","33","13","13"
"650","90","75","33","16","16"
"647","90","75","33","17","17"
"655","90","75","33","13","13"
"653","90","75","33","15","15"
"656","90","75","33","20","20"
"654","90","75","33","25","25"
"657","90","75","33","18","18"
"659","90","75","33","15","15"
"658","90","75","33","17","17"
"661","90","75","34","15","15"
"660","90","75","33","17","17"
"662","90","75","34","17","17"
"665","90","75","34","15","15"
"667","90","75","34","13","13"
"668","90","75","34","15","15"
"663","90","75","34","15","15"
"664","90","75","34","20","20"
"666","90","75","34","21","21"
"670","90","75","34","16","16"
"672","90","75","34","14","14"
"673","90","75","34","13","13"
"674","90","75","34","13","13"
"671","90","75","34","18","18"
"669","90","75","34","24","24"
"675","90","75","34","17","17"
"676","90","75","34","17","17"
"678","90","75","34","15","15"
"681","90","75","35","14","14"
"677","90","75","34","20","20"
"680","90","75","34","12","12"
"679","90","75","34","18","18"
"682","90","75","35","18","18"
"684","90","75","35","14","14"
"683","90","75","35","17","17"
"686","90","75","35","16","16"
"685","90","75","35","17","17"
"688","90","75","35","14","14"
"687","90","75","35","13","13"
"690","90","75","35","16","16"
"689","90","75","35","18","18"
"691","90","75","35","16","16"
"692","90","75","35","15","15"
"695","90","75","35","14","14"
"693","90","75","35","13","13"
"697","90","75","35","14","14"
"696","90","75","35","14","14"
"694","90","75","35","18","18"
"698","90","75","35","16","16"
"699","90","75","35","16","16"
"700","90","75","35","14","14"
"701","90","75","36","17","17"
"702","90","75","36","16","16"
"707","90","75","36","13","13"
"709","90","75","36","13","13"
"706","90","75","36","16","16"
"703","90","75","36","21","21"
"710","90","75","36","13","13"
"705","90","75","36","21","21"
"704","90","75","36","25","25"
"712","90","75","36","14","14"
"708","90","75","36","21","21"
"713","90","75","36","17","17"
"715","90","75","36","15","15"
"714","90","75","36","14","14"
"716","90","75","36","16","16"
"711","90","75","36","28","28"
"717","90","75","36","14","14"
"719","90","75","36","15","15"
"718","90","75","36","17","17"
"720","90","75","36","15","15"
"722","90","75","37","15","15"
"724","90","75","37","15","15"
"721","90","75","37","21","21"
"726","90","75","37","16","16"
"728","90","75","37","13","13"
"727","90","75","37","18","18"
"723","90","75","37","23","23"
"729","90","75","37","16","16"
"731","90","75","37","13","13"
"733","90","75","37","15","15"
"734","90","75","37","16","16"
"732","90","75","37","17","17"
"736","90","75","37","17","17"
"730","90","75","37","25","25"
"735","90","75","37","18","18"
"737","90","75","37","17","17"
"725","90","75","37","29","29"
"738","90","75","37","19","19"
"740","90","75","37","18","18"
"742","90","75","38","16","16"
"739","90","75","37","19","19"
"745","90","75","38","16","16"
"741","90","75","38","22","22"
"746","90","75","38","17","17"
"744","90","75","38","24","24"
"743","90","75","38","22","22"
"747","90","75","38","17","17"
"748","90","75","38","17","17"
"749","90","75","38","24","24"
"750","90","75","38","19","19"
"754","90","75","38","18","18"
"751","90","75","38","22","22"
"755","90","75","38","18","18"
"757","90","75","38","15","15"
"759","90","75","38","16","16"
"756","90","75","38","20","20"
"761","90","75","39","19","19"
"758","90","75","38","19","19"
"760","90","75","38","20","20"
"753","90","75","38","30","30"
"752","90","75","38","34","34"
"762","90","75","39","21","21"
"765","90","75","39","15","15"
"764","90","75","39","19","19"
"767","90","75","39","17","17"
"769","90","75","39","15","15"
"768","90","75","39","20","20"
"763","90","75","39","29","29"
"772","90","75","39","16","16"
"774","90","75","39","19","19"
"770","90","75","39","21","21"
"766","90","75","39","23","23"
"773","90","75","39","20","20"
"775","90","75","39","21","21"
"771","90","75","39","24","24"
"776","90","75","39","20","20"
"778","90","75","39","20","20"
"777","90","75","39","21","21"
"780","90","75","39","25","25"
"779","90","75","39","20","20"
"781","90","75","40","20","20"
"783","90","75","40","18","18"
"782","90","75","40","20","20"
"784","90","75","40","19","19"
"785","90","75","40","18","18"
"788","90","75","40","16","16"
"790","90","75","40","16","16"
"786","90","75","40","19","19"
"789","90","75","40","25","25"
"791","90","75","40","21","21"
"787","90","75","40","32","32"
"797","90","75","40","15","15"
"795","90","75","40","18","18"
"796","90","75","40","18","18"
"792","90","75","40","24","24"
"798","90","75","40","16","16"
"793","90","75","40","29","29"
"801","90","75","41","16","16"
"799","90","75","40","21","21"
"794","90","75","40","22","22"
"800","90","75","40","21","21"
"802","90","75","41","16","16"
"808","90","75","41","17","17"
"804","90","75","41","20","20"
"805","90","75","41","24","24"
"803","90","75","41","30","30"
"807","90","75","41","20","20"
"806","90","75","41","22","22"
"809","90","75","41","18","18"
"811","90","75","41","20","20"
"810","90","75","41","21","21"
"814","90","75","41","18","18"
"813","90","75","41","21","21"
"815","90","75","41","20","20"
"812","90","75","41","23","23"
"822","90","75","42","15","15"
"819","90","75","41","17","17"
"820","90","75","41","19","19"
"817","90","75","41","20","20"
"818","90","75","41","19","19"
"816","90","75","41","24","24"
"824","90","75","42","19","19"
"828","90","75","42","15","15"
"823","90","75","42","23","23"
"829","90","75","42","16","16"
"825","90","75","42","22","22"
"821","90","75","42","26","26"
"827","90","75","42","23","23"
"826","90","75","42","23","23"
"831","90","75","42","18","18"
"832","90","75","42","17","17"
"830","90","75","42","20","20"
"833","90","75","42","19","19"
"834","90","75","42","20","20"
"836","90","75","42","24","24"
"840","90","75","42","16","16"
"837","90","75","42","21","21"
"838","90","75","42","21","21"
"839","90","75","42","20","20"
"835","90","75","42","25","25"
"841","90","75","43","20","20"
"842","90","75","43","23","23"
"843","90","75","43","23","23"
"845","90","75","43","22","22"
"844","90","75","43","26","26"
"846","90","75","43","27","27"
"847","90","75","43","25","25"
"849","90","75","43","26","26"
"851","90","75","43","19","19"
"848","90","75","43","24","24"
"850","90","75","43","24","24"
"855","90","75","43","21","21"
"853","90","75","43","20","20"
"852","90","75","43","20","20"
"856","90","75","43","19","19"
"854","90","75","43","20","20"
"857","90","75","43","21","21"
"858","90","75","43","22","22"
"859","90","75","43","24","24"
"865","90","75","44","22","22"
"869","90","75","44","17","17"
"862","90","75","44","28","28"
"860","90","75","43","32","32"
"861","90","75","44","29","29"
"864","90","75","44","30","30"
"863","90","75","44","31","31"
"867","90","75","44","26","26"
"872","90","75","44","19","19"
"868","90","75","44","30","30"
"866","90","75","44","33","33"
"870","90","75","44","24","24"
"873","90","75","44","22","22"
"871","90","75","44","30","30"
"876","90","75","44","20","20"
"874","90","75","44","21","21"
"879","90","75","44","20","20"
"878","90","75","44","23","23"
"880","90","75","44","21","21"
"881","90","75","45","21","21"
"882","90","75","45","22","22"
"883","90","75","45","20","20"
"877","90","75","44","29","29"
"875","90","75","44","35","35"
"885","90","75","45","18","18"
"884","90","75","45","27","27"
"886","90","75","45","26","26"
"888","90","75","45","29","29"
"887","90","75","45","29","29"
"891","90","75","45","21","21"
"890","90","75","45","26","26"
"897","90","75","45","21","21"
"895","90","75","45","20","20"
"889","90","75","45","34","34"
"892","90","75","45","26","26"
"893","90","75","45","25","25"
"896","90","75","45","24","24"
"894","90","75","45","23","23"
"898","90","75","45","20","20"
"900","90","75","45","24","24"
"899","90","75","45","31","31"
"902","90","75","46","21","21"
"901","90","75","46","23","23"
"905","90","75","46","23","23"
"906","90","75","46","22","22"
"904","90","75","46","28","28"
"911","90","75","46","23","23"
"910","90","75","46","24","24"
"907","90","75","46","29","29"
"908","90","75","46","26","26"
"909","90","75","46","25","25"
"903","90","75","46","35","35"
"912","90","75","46","23","23"
"913","90","75","46","23","23"
"917","90","75","46","20","20"
"914","90","75","46","26","26"
"916","90","75","46","25","25"
"919","90","75","46","20","20"
"920","90","75","46","19","19"
"918","90","75","46","27","27"
"921","90","75","47","20","20"
"922","90","75","47","22","22"
"923","90","75","47","24","24"
"915","90","75","46","36","36"
"924","90","75","47","24","24"
"925","90","75","47","24","24"
"927","90","75","47","22","22"
"928","90","75","47","24","24"
"929","90","75","47","22","22"
"926","90","75","47","28","28"
"930","90","75","47","25","25"
"933","90","75","47","24","24"
"934","90","75","47","24","24"
"931","90","75","47","26","26"
"936","90","75","47","18","18"
"935","90","75","47","25","25"
"938","90","75","47","20","20"
"939","90","75","47","21","21"
"937","90","75","47","23","23"
"940","90","75","47","22","22"
"932","90","75","47","40","40"
"941","90","75","48","22","22"
"942","90","75","48","22","22"
"944","90","75","48","20","20"
"946","90","75","48","20","20"
"948","90","75","48","20","20"
"945","90","75","48","25","25"
"947","90","75","48","24","24"
"950","90","75","48","21","21"
"952","90","75","48","21","21"
"949","90","75","48","26","26"
"951","90","75","48","27","27"
"953","90","75","48","28","28"
"954","90","75","48","22","22"
"955","90","75","48","26","26"
"957","90","75","48","20","20"
"943","90","75","48","42","42"
"956","90","75","48","27","27"
"958","90","75","48","21","21"
"960","90","75","48","20","20"
"961","90","75","49","24","24"
"962","90","75","49","24","24"
"964","90","75","49","18","18"
